country_code,female,age,educ,inc_q,urbanicity,account_mob,dig_account,anydigpayment,internet_use,wgt,mmpi_2023,reg_index,reg_cons_prot,reg_kyc_prop,reg_entry_lim,reg_max_lim,reg_agent_el,num_providers,earliest_launch
KEN,2,26,2.0,4,1,1,1,1,1,0.711302704241898,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,29,1.0,2,2,0,1,1,0,1.08622788292244,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,29,2.0,2,1,1,1,1,1,0.56819678692358,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,40,2.0,1,1,1,1,1,0,1.00550607133492,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,25,2.0,3,2,1,1,1,1,1.12992407280888,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,37,2.0,5,1,1,1,1,1,1.1435686691794,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,26,1.0,4,1,1,1,1,0,0.7185285671785,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,24,2.0,5,1,1,1,1,1,1.22633644102261,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,19,2.0,5,2,1,1,1,1,0.598534737127857,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,35,2.0,5,1,1,1,1,1,0.568846397340042,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,21,2.0,3,1,1,1,1,1,0.844237478965639,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,41,1.0,1,1,0,0,0,0,1.31053255620881,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,34,1.0,1,1,0,0,0,0,0.527257341585548,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,55,2.0,5,1,1,1,1,1,3.06565558329058,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,30,2.0,4,1,0,0,0,1,0.936882980044495,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,25,2.0,4,1,1,1,1,1,1.59828476407496,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,18,2.0,4,1,1,1,1,1,1.13157945625804,Very high,88.0,100.0,0,100,100,100,4,2007
